gender,height,weight
Male,175,65
Male,172,64.3
Male,176,63
Male,175,60
Male,160,75
Male,176,85
Male,172,82.5
Male,166.6,63
Male,165,55
Male,176.5,65.5
Male,175,63
Male,178,68
Male,172.5,67.5
Male,170,62.5
Male,175,60
Male,181.3,68.5
Male,172.3,65.5
Male,177.5,65.5
Male,171,63.5
Male,173,56
Male,170,63.1
Male,170,68.5
Male,177,64
Male,180,60
Male,172,72.5
Male,176,60
Male,170,55
Male,176,90
Male,190,60
Male,178,80
Male,171,68
Male,170,66
Male,175,65
Male,174,64
Male,178,51
Male,176,55
Male,177,70
Male,175,65
Male,175,80
Male,173,65
Male,175,75
Male,173,80
Male,176,70
Male,178,66
Male,180,71
Male,178,85
Male,172,55
Male,169,63
Male,170,65
Male,173,60
Female,168,55
Female,165.3,54.5
Female,169,57
Female,163,50
Female,164,50
Female,163,55
Female,160.2,42.7
Female,158,58
Female,158,54.1
Female,158,52
Female,162,54
Female,163,56
Female,160,56
Female,156.5,55
Female,152.5,47
Female,161,52
Female,163,45
Female,160,48
Female,171,65
Female,160.5,48
Female,165,60
Female,163,56
Female,162,49
Female,155,50
Female,167.5,51.5
Female,150,60
Female,162,51
Female,160,44
Female,160,51
Female,165,53
Female,148,44
Female,162,52
Female,160,48
Female,165,55
Female,160,42
Female,165,52.5
Female,160,50
Female,155,45
Female,160,55
Female,166,56
Female,162,57.5
Female,164,60
Female,165,48
Female,162,47.5
Female,161,45
Female,157,45
Female,155,44.5
Female,162,65
Female,157,51
Female,160,55
